"__insert_date","campaign_id","channel","url","text","clicks","comments","date","engagements","impressions","likes","url_clicks","retweets","spend","video_total_views"
2023-02-07 11:54:40,"29",Twitter,https://twitter.com/thaislip/status/1590730904921579520,"The Wawa FlyThru Pickup Lane is now open at 639 East Lincoln Highway in Langhorne only! No need to park, leave your… https://t.co/cZdr72ikaj",0,0,2023-02-07,0,0,0,0,0,0,0
2023-02-07 11:54:40,"32",Twitter,https://twitter.com/coegi_social/status/1615416060475228161,There’s no better time to get to know your new home! It’s time to plan your visit to Mizzou.,0,0,2023-02-07,0,0,0,0,0,0,0
2023-02-07 11:54:40,"4",Twitter,https://twitter.com/thaislip/status/1589664710437339136,"Free coffee vibes only ☕ ❤️ Wawa Rewards members, it’s that time again: Free Coffee Tuesdays are BACK through the e… https://t.co/8CILb8ZpLB",0,0,2023-02-07,0,0,0,0,0,0,0
2023-02-07 11:54:40,"40",Twitter,https://twitter.com/coegi_social/status/1615416256319918108,Research at Mizzou can look like anything and be anywhere! What will you discover?,0,0,2023-02-07,0,0,0,0,0,0,0
2023-02-07 11:54:40,"16",Twitter,https://twitter.com/coegi_social/status/1617664748077678592,"On campus or runway-side in New York City, Mizzou helps Tigers achieve anything they dream of.",0,0,2023-02-07,0,3,0,0,0,0,0
2023-02-07 11:54:40,"2",Twitter,https://twitter.com/coegi_social/status/1617665160574910464,Start at Mizzou and find yourself in the center of everything.,0,0,2023-02-07,0,0,0,0,0,0,0
2023-02-07 11:54:40,"7",Twitter,https://twitter.com/coegi_social/status/1617401873165651968,"Coffee shops, restaurants, theaters, boutiques and more. Just steps away from Mizzou’s beautiful campus.",0,0,2023-02-07,0,0,0,0,0,0,0
2023-02-07 11:54:40,"9",Twitter,https://twitter.com/coegi_social/status/1616468671517364225,Saving big is as easy as applying to Mizzou. Automatic scholarships are just a few clicks away.,0,0,2023-02-07,0,1,0,0,0,0,0
2023-02-07 11:54:40,"35",Twitter,https://twitter.com/coegi_social/status/1615325305173835779,"Because you can’t study ALL of the time. There are endless things to see, do and experience at Mizzou.",0,0,2023-02-07,0,0,0,0,0,0,0
2023-02-07 11:54:40,"35",Twitter,https://twitter.com/coegi_social/status/1616468671517364225,Saving big is as easy as applying to Mizzou. Automatic scholarships are just a few clicks away.,0,0,2023-02-07,0,5,0,0,0,0,1
2023-02-07 11:54:40,"36",Twitter,https://twitter.com/coegi_social/status/1617665160574910464,Start at Mizzou and find yourself in the center of everything.,0,0,2023-02-07,0,1,0,0,0,0,0
