"__insert_date","ad_id","add_to_cart","adset_id","campaign_id","channel","clicks","comments","creative_id","creative_title","objective","buying_type","campaign_type","creative_body","date","likes","shares","comments","views","clicks","impressions","mobile_app_install","inline_link_clicks","purchase","complete_registration","purchase_value","shares","spend","purchase","views"
2023-02-07 11:54:19,"27",0,"27","27",Facebook,1,0,"27","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,4,1,20,0,1,0,0,0,0,0,0,4
2023-02-07 11:54:19,"42",0,"42","42",Facebook,3,0,"42","",PRODUCT_CATALOG_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,3,316,0,3,0,0,0,0,5,0,0
2023-02-07 11:54:19,"34",0,"34","34",Facebook,12,0,"34","",PRODUCT_CATALOG_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,12,257,0,12,0,0,0,0,3,0,0
2023-02-07 11:54:19,"19",0,"19","19",Facebook,0,0,"19","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,5,0,42,0,0,0,0,0,0,1,0,5
2023-02-07 11:54:19,"8",0,"8","8",Facebook,0,0,"8","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,3,0,27,0,0,0,0,0,0,1,0,3
2023-02-07 11:54:19,"47",0,"47","47",Facebook,3,0,"47","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,0,3,95,0,3,0,0,0,0,2,0,0
2023-02-07 11:54:19,"31",0,"31","31",Facebook,0,0,"31", Shop Earrings,CONVERSIONS,AUCTION,Social,"The new ear candy you've been looking for, just in time for Valentine's Day. Shop all earrings at the link in our bio!",2023-02-07,0,0,0,17,0,88,0,0,0,0,0,0,0,0,17
2023-02-07 11:54:19,"39",0,"39","39",Facebook,0,0,"39","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2023-02-07 11:54:19,"8",0,"8","8",Facebook,0,0,"8","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
2023-02-07 11:54:19,"48",0,"48","48",Facebook,0,0,"48","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,0,140,0,0,0,0,0,0,4,0,0
2023-02-07 11:54:19,"40",0,"40","40",Facebook,1,0,"40","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,1,39,0,1,0,0,0,0,1,0,0
2023-02-07 11:54:19,"32",0,"32","32",Facebook,10,0,"32","",PRODUCT_CATALOG_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,10,547,0,10,0,0,0,0,9,0,0
2023-02-07 11:54:19,"26",0,"26","26",Facebook,1,0,"26",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,The perfect Valentine’s Day gift is waiting 😍,2023-02-07,0,0,0,22,1,204,0,1,0,0,0,0,3,0,22
2023-02-07 11:54:19,"41",0,"41","41",Facebook,0,0,"41","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,0,55,0,0,0,0,0,0,2,0,0
2023-02-07 11:54:19,"40",0,"40","40",Facebook,27,0,"40",Get It by Valentine's Day,OUTCOME_AWARENESS,AUCTION,Social,"The sweetest gift for Valentine’s Day? A stunning engagement ring, of course 😍",2023-02-07,0,0,0,1916,27,14852,0,27,0,0,0,0,86,0,1916
2023-02-07 11:54:19,"25",0,"25","25",Facebook,0,0,"25",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,You’d do anything for each other ❤️ Find the perfect Valentine’s Day gift or drop a hint at Shane Co.,2023-02-07,0,0,0,8,0,40,0,0,0,0,0,0,1,0,8
2023-02-07 11:54:19,"31",0,"31","31",Facebook,0,0,"31","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,0,126,0,0,0,0,0,0,2,0,0
2023-02-07 11:54:19,"34",0,"34","34",Facebook,5,0,"34",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,"You found the one, now find the ring 💍 Shop the widest selection of natural and lab-grown diamonds in every shape at Shane Co.",2023-02-07,0,0,0,226,5,1222,0,5,0,0,0,0,23,0,226
2023-02-07 11:54:19,"31",0,"31","31",Facebook,0,0,"31",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,"You found the one, now find the ring 💍 Shop the widest selection of natural and lab-grown diamonds in every shape at Shane Co.",2023-02-07,0,0,0,31,0,228,0,0,0,0,0,0,9,0,31
2023-02-07 11:54:19,"37",0,"37","37",Facebook,0,0,"37", Shop Earrings,CONVERSIONS,AUCTION,Social,"The new ear candy you've been looking for, just in time for Valentine's Day. Shop all earrings at the link in our bio!",2023-02-07,0,0,0,1,0,17,0,0,0,0,0,0,0,0,1
2023-02-07 11:54:19,"9",0,"9","9",Facebook,0,0,"9",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,You’d do anything for each other ❤️ Find the perfect Valentine’s Day gift or drop a hint at Shane Co.,2023-02-07,0,0,0,8,0,144,0,0,0,0,0,0,1,0,8
2023-02-07 11:54:19,"32",0,"32","32",Facebook,0,0,"32","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2023-02-07 11:54:19,"34",0,"34","34",Facebook,10,0,"34",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,"You found the one, now find the ring 💍 Shop the widest selection of natural and lab-grown diamonds in every shape at Shane Co.",2023-02-07,0,0,0,502,10,6211,0,10,0,0,0,0,70,0,502
2023-02-07 11:54:19,"10",0,"10","10",Facebook,1,0,"10","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,1,108,0,1,0,0,0,0,5,0,0
2023-02-07 11:54:19,"26",0,"26","26",Facebook,0,0,"26","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2023-02-07 11:54:19,"44",0,"44","44",Facebook,0,0,"44",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,You’d do anything for each other ❤️ Find the perfect Valentine’s Day gift or drop a hint at Shane Co.,2023-02-07,0,0,0,5,0,40,0,0,0,0,0,0,0,0,5
2023-02-07 11:54:19,"28",0,"28","28",Facebook,0,0,"28","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
2023-02-07 11:54:19,"18",0,"18","18",Facebook,0,0,"18","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,0,0,56,0,0,0,0,0,0,1,0,0
2023-02-07 11:54:19,"48",0,"48","48",Facebook,31,0,"48",Get It by Valentine's Day,OUTCOME_AWARENESS,AUCTION,Social,"You found the one, now find the ring 💍 Shop the widest selection of natural and lab-grown diamonds in every shape at Shane Co.",2023-02-07,0,1,0,1975,31,9452,0,31,0,0,0,1,69,0,1975
2023-02-07 11:54:19,"45",0,"45","45",Facebook,3,0,"45",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,The perfect Valentine’s Day gift is waiting 😍,2023-02-07,0,0,0,25,3,186,0,3,0,0,0,0,7,0,25
2023-02-07 11:54:19,"49",0,"49","49",Facebook,31,0,"49","",PRODUCT_CATALOG_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,31,681,0,31,0,0,0,0,20,0,0
2023-02-07 11:54:19,"37",0,"37","37",Facebook,4,0,"37",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,"The sweetest gift for Valentine’s Day? A stunning engagement ring, of course 😍",2023-02-07,0,0,0,83,4,755,0,4,0,0,0,0,14,0,83
2023-02-07 11:54:19,"6",0,"6","6",Facebook,3,0,"6",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,"The sweetest gift for Valentine’s Day? A stunning engagement ring, of course 😍",2023-02-07,0,0,0,26,3,306,0,3,0,0,0,0,9,0,26
2023-02-07 11:54:19,"19",0,"19","19",Facebook,25,0,"19",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,"The sweetest gift for Valentine’s Day? A stunning engagement ring, of course 😍",2023-02-07,0,0,0,499,25,5691,0,25,0,0,0,0,82,0,499
2023-02-07 11:54:19,"31",0,"31","31",Facebook,0,0,"31","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,3,0,25,0,0,0,0,0,0,0,0,3
2023-02-07 11:54:19,"19",0,"19","19",Facebook,1,0,"19","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,1,166,0,1,0,0,0,0,4,0,0
2023-02-07 11:54:19,"28",0,"28","28",Facebook,16,0,"28",Get It by Valentine's Day,CONVERSIONS,AUCTION,Social,The perfect Valentine’s Day gift is waiting 😍,2023-02-07,0,0,0,238,16,2935,0,16,0,0,0,0,33,0,238
2023-02-07 11:54:19,"11",0,"11","11",Facebook,25,0,"11",Get It by Valentine's Day,OUTCOME_AWARENESS,AUCTION,Social,"You found the one, now find the ring 💍 Shop the widest selection of natural and lab-grown diamonds in every shape at Shane Co.",2023-02-07,0,0,0,1503,25,11526,0,25,0,0,0,0,68,0,1503
2023-02-07 11:54:19,"35",0,"35","35",Facebook,0,0,"35","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,4,0,20,0,0,0,0,0,0,1,0,4
2023-02-07 11:54:19,"47",0,"47","47",Facebook,3,0,"47","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,39,3,179,0,3,0,0,0,0,3,0,39
2023-02-07 11:54:19,"45",0,"45","45",Facebook,0,0,"45","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
2023-02-07 11:54:19,"12",0,"12","12",Facebook,17,0,"12","",PRODUCT_CATALOG_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,17,1062,0,17,0,0,0,0,29,0,0
2023-02-07 11:54:19,"37",0,"37","37",Facebook,16,0,"37",Get It by Valentine's Day,OUTCOME_AWARENESS,AUCTION,Social,"The sweetest gift for Valentine’s Day? A stunning engagement ring, of course 😍",2023-02-07,0,0,0,763,16,7977,0,16,0,0,0,0,51,0,763
2023-02-07 11:54:19,"23",0,"23","23",Facebook,0,0,"23","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,0,68,0,0,0,0,0,0,2,0,0
2023-02-07 11:54:19,"11",0,"11","11",Facebook,1,0,"11","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,1,176,0,1,0,0,0,0,3,0,0
2023-02-07 11:54:19,"12",0,"12","12",Facebook,0,0,"12","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,3,0,10,0,0,0,0,0,0,0,0,3
2023-02-07 11:54:19,"40",0,"40","40",Facebook,0,0,"40", Shop Earrings,CONVERSIONS,AUCTION,Social,"The new ear candy you've been looking for, just in time for Valentine's Day. Shop all earrings at the link in our bio!",2023-02-07,0,0,0,4,0,22,0,0,0,0,0,0,0,0,4
2023-02-07 11:54:19,"14",0,"14","14",Facebook,0,0,"14","",CONVERSIONS,AUCTION,Social,"",2023-02-07,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
2023-02-07 11:54:19,"47",0,"47","47",Facebook,1,0,"47","",OUTCOME_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,1,110,0,1,0,0,0,0,2,0,0
2023-02-07 11:54:19,"3",0,"3","3",Facebook,14,0,"3","",PRODUCT_CATALOG_SALES,AUCTION,Social,"",2023-02-07,0,0,0,0,14,146,0,14,0,0,0,0,2,0,0
2023-02-07 11:54:19,"30",0,"30","30",Facebook,0,0,"30",🍕🍕,OUTCOME_SALES,AUCTION,Social,Need a mid-day pick-me-up? 🌞 Get 40% off PIZZA & BREAD when you order online between 11am and 2pm Monday-Friday using offer code MF40.,2023-02-07,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
2023-02-07 11:54:19,"36",3,"36","36",Facebook,0,0,"36",Something full of cheesy goodness!,OUTCOME_SALES,AUCTION,Social,🤤 Melt for our NEW Stuffed Cheesy Bread. 🧀 🥖,2023-02-07,0,0,0,0,0,0,0,0,4,0,66,0,0,4,0
2023-02-07 11:54:19,"32",0,"32","32",Facebook,0,0,"32",🍕🍕,OUTCOME_SALES,AUCTION,Social,Satisfy your cravings and choose any 2 pizza 🍕 pasta 🍝 wings 🍗 or brownie 🍫 for $8.99* each!,2023-02-07,0,0,0,0,0,120,0,0,0,0,0,0,1,0,0
