"__insert_date","ad_id","adset_id","campaign_id","channel","ad_description","title_part_1","title_part_2","clicks","date","imps","revenue","spend","conv"
2023-02-07 11:54:19,"29","29","29",Bing,Download the 2021 Report Today & Protect Against Business Email Fraud.,Protect Against Email Fraud,Top 10 Email Fraud Scams,0,2023-02-07,1,0,0,0
2023-02-07 11:54:19,"26","26","26",Bing,Ensure Your Data Is Secure with Dmarc. Schedule a Free Trial Today!,Dmarc Email Authentication,Free Guide - Proofpoint,0,2023-02-07,9,0,0,0
2023-02-07 11:54:19,"36","36","36",Bing,Download the 2021 Report Today & Prevent Business Email Fraud.,Top 10 Email Fraud Scams,Free Email Fraud Report,5,2023-02-07,38,0,1,0
2023-02-07 11:54:19,"14","14","14",Bing,"","","",0,2023-02-07,1,0,0,0
2023-02-07 11:54:19,"41","41","41",Bing,"Proofpoint Endpoint DLP takes a modern, people-centric approach to protecting your data.",Data Breach Prevention,Mitigate Risk of Data Breach,0,2023-02-07,1,0,0,0
2023-02-07 11:54:19,"11","11","11",Bing,"Secure Remote Endpoints, Apps, Data Access to Prevent Data Loss, Theft & Credential Loss.",Remote Access for Employees,Request a Free Trial,0,2023-02-07,6,0,0,0
2023-02-07 11:54:19,"22","22","22",Bing,"Secure Remote Endpoints, Apps, Data Access to Prevent Data Loss, Theft & Credential Loss.",Remote Access Security,Request a Free Trial,0,2023-02-07,3,0,0,0
2023-02-07 11:54:19,"19","19","19",Bing,"Download Guide & Get Solutions For What To Do Before, During & After Ransomware Attacks.",Be Ready for Ransomware,Get Ransomware Survival Guide,0,2023-02-07,1,0,0,0
2023-02-07 11:54:19,"7","7","7",Bing,Download the 2021 Report Today & Protect Against Business Email Fraud.,Top 10 Email Fraud Scams,Free Email Fraud Report,0,2023-02-07,3,0,0,0
2023-02-07 11:54:19,"16","16","16",Bing,"","","",0,2023-02-07,5,0,0,0
2023-02-07 11:54:19,"46","46","46",Bing,"Learn What To Do Before, During & After a Ransomware Attack in Our Guide. Download Today.",Ransomware Survival Guide,Download Report Today,0,2023-02-07,3,0,0,0
2023-02-07 11:54:19,"23","23","23",Bing,"Secure Remote Endpoints, Apps, Data Access to Prevent Data Loss, Theft & Credential Loss.",Security for Remote Workforce,Request a Free Trial,0,2023-02-07,3,0,0,0
