"__insert_date","ad_id","add_to_cart","adgroup_id","campaign_id","channel","clicks","date","impressions","rt_installs","skan_app_install","ad_status","ad_text","purchase","registrations","spend","conversions","skan_conversion","video_views"
2023-02-07 11:54:21,"33",0,"33","33",TikTok Ads,0,2023-02-07,101,0,0,AD_STATUS_BUDGET_EXCEED,Don’t miss a chance to win!️ Tag us @Wawa and use the hashtag above for your entry to count!,0,0,0,0,0,92
2023-02-07 11:54:21,"40",0,"40","40",TikTok Ads,0,2023-02-07,309,0,0,AD_STATUS_DELIVERY_OK,Coming Soon to Overland Park!,0,0,2,0,0,282
2023-02-07 11:54:21,"17",0,"17","17",TikTok Ads,0,2023-02-07,0,0,0,AD_STATUS_DONE,"Rewards Members, don't miss out on 2X REWARDS on your Wawa faves thru 2/5!",0,0,0,0,0,0
2023-02-07 11:54:21,"50",0,"50","50",TikTok Ads,0,2023-02-07,91,0,0,AD_STATUS_DELIVERY_OK,Enroll for $0 Today!,0,0,0,0,0,87
2023-02-07 11:54:21,"26",0,"26","26",TikTok Ads,0,2023-02-07,0,0,0,AD_STATUS_DONE,Earn 2x rewards on the @wawa app now through 2/5 on all eligible purchases!!!! What better way to earn rewards than by going on your usual Wawa run and seeing those rewards come in!?!?!? Download the Wawa app to start earning! #phillyfoodies #WawaRewards #partner  ,0,0,0,0,0,0
2023-02-07 11:54:21,"36",0,"36","36",TikTok Ads,0,2023-02-07,47,0,0,AD_STATUS_DELIVERY_OK,Coming Soon to Northville | Win a Free Year of Fitness,0,0,0,0,0,46
2023-02-07 11:54:21,"47",0,"47","47",TikTok Ads,0,2023-02-07,8258,0,0,AD_STATUS_DELIVERY_OK,It is what it is 🤷 #fyp #wawa #wawarun,0,0,17,0,0,7896
2023-02-07 11:54:21,"17",0,"17","17",TikTok Ads,0,2023-02-07,3,0,0,AD_STATUS_BUDGET_EXCEED,Join for $0.23 | 1st Month FREE!,0,0,0,0,0,3
2023-02-07 11:54:21,"23",0,"23","23",TikTok Ads,23,2023-02-07,14713,0,0,AD_STATUS_DELIVERY_OK,"Hot Hoagies, any way you like ‘em! Order yours with Meatballs, Breaded Chicken Strips and more.",0,0,40,0,0,14040
2023-02-07 11:54:21,"46",0,"46","46",TikTok Ads,0,2023-02-07,1,0,0,AD_STATUS_BUDGET_EXCEED,First Month Free,0,0,0,0,0,1
2023-02-07 11:54:21,"10",0,"10","10",TikTok Ads,0,2023-02-07,0,0,0,AD_STATUS_DONE,"Join Wawa Rewards now, get 2X REWARDS thru 2/5 on your faves, plus freebies & deals all year long!",0,0,0,0,0,0
2023-02-07 11:54:21,"1",0,"1","1",TikTok Ads,5,2023-02-07,784,0,0,AD_STATUS_DELIVERY_OK,Changes lives. Live your best. That’s the life of an OD.,0,0,2,0,0,725
2023-02-07 11:54:21,"8",0,"8","8",TikTok Ads,0,2023-02-07,0,0,0,AD_STATUS_DONE,Salted White Mocha slays all day. Limited time only! Order your new fave bev on the Wawa App.,0,0,0,0,0,0
2023-02-07 11:54:21,"13",0,"13","13",TikTok Ads,14,2023-02-07,1720,0,0,AD_STATUS_DELIVERY_OK,"Shooting hoops to changing lives, all in a day of an OD.",0,0,7,0,0,1559
2023-02-07 11:54:21,"39",0,"39","39",TikTok Ads,0,2023-02-07,0,0,0,AD_STATUS_DONE,Did someone say “Maple Coffee Cake Coffee”? Absolutely yes. Pour a cup today!,0,0,0,0,0,0
2023-02-07 11:54:21,"8",0,"8","8",TikTok Ads,1,2023-02-07,131,0,0,AD_STATUS_DELIVERY_OK,Live that Doctor of Optometry life like Dr. Patel.,0,0,1,0,0,122
2023-02-07 11:54:21,"21",0,"21","21",TikTok Ads,0,2023-02-07,0,0,0,AD_STATUS_DONE,"Rewards Members, don't miss out on 2X REWARDS on your Wawa faves thru 2/5!",0,0,0,0,0,0
2023-02-07 11:54:21,"1",0,"1","1",TikTok Ads,0,2023-02-07,82,0,0,AD_STATUS_DELIVERY_OK,Dr. Pham gets to pursue all her passions in life.,0,0,0,0,0,75
